nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export,GGM-guid,GGM-source-guid
480,heeft,,Association,nan,{5B64A5F8-64B5-4d1b-BEDD-486ED2C2C493},heeft,nan,nan,association-relationship,f921832b-8af0-4e42-b3fa-8298ee3ef6e7,cda4149f-f0a0-44d9-b893-25bcce04d20d,488958ee-08fd-4818-af8b-2d7ebb73c01f,18022026-151638,,
481,bedient,,Association,,{120EA50B-B9A2-4869-A3BE-46931F631D33},,,,,,,,18022026-151638,,
482,is gevestigd in,,Association,,{461EFCF0-E65E-4c7c-B44D-8F36C36FDCE4},,,,,,,,18022026-151638,,
483,heeft,,Association,nan,{9E01AD8B-D856-4a58-9CE1-06C70F628350},heeft,nan,nan,association-relationship,8f3813c2-b6e6-417a-ab5f-a42b842ead0e,0f53081c-01f9-4c0a-b049-77d310a0ea33,28c55e98-3c0d-4314-9eb0-d0985b1ba564,18022026-151638,,
484,heeft,,Association,nan,{9E01AD8B-D856-4a58-9CE1-06C70F628350},heeft,nan,nan,association-relationship,0039ad59-4270-4af9-b9b0-dc4c747bccee,cda4149f-f0a0-44d9-b893-25bcce04d20d,28c55e98-3c0d-4314-9eb0-d0985b1ba564,18022026-151638,,
485,,,Association,,{6850BC5E-444E-4d33-A8A7-9B345502E275},,,,association-relationship,cfb7105c-4ed8-4864-abf6-99a565222f01,7be642b3-e95f-4f1a-9415-d95c38346e9f,600049b0-c179-4e7d-ac63-99d5ba393093,18022026-151638,,
486,stelt samen,,Association,nan,{069C9894-5E07-4c95-AC28-EB4A5EBFD165},stelt samen,nan,nan,association-relationship,79b778db-ba09-46ca-b48e-471469bfa040,9a4512b0-6081-4f32-bec9-8f2b62e62761,7be642b3-e95f-4f1a-9415-d95c38346e9f,18022026-151638,,
487,voor,,Association,nan,{069C9894-5E07-4c95-AC28-EB4A5EBFD165},voor,nan,nan,association-relationship,61e0b5e3-3c38-4b2d-b81b-09066a081294,3410d2a0-c0ff-4984-a083-a1b27c374178,7be642b3-e95f-4f1a-9415-d95c38346e9f,18022026-151638,,
488,heeft verbinding,,Association,nan,{3BBB3264-592A-4d8c-A741-C2A3C38E3932},heeft verbinding,nan,nan,association-relationship,a7e711e4-b35a-4946-b0f9-ec9655f89939,e963434a-50be-4619-b041-58689adc00de,36e81522-45dc-4859-a86a-92f9d1d879ba,18022026-151638,,
489,betreft,,Association,,{6850BC5E-444E-4d33-A8A7-9B345502E275},betreft,,,association-relationship,8525abed-6dce-436f-ac87-e44fceb56970,88554f73-87e4-45e5-999e-4b5d029f15a9,600049b0-c179-4e7d-ac63-99d5ba393093,18022026-151638,,
490,betreft,,Association,,{8D3666E3-F2DA-4cba-BF67-EFED9AAD97CC},betreft,,,association-relationship,496260cc-2dec-46d7-98ca-9bacd65b0705,88554f73-87e4-45e5-999e-4b5d029f15a9,2e6d875a-61b7-448f-afe5-c579adc7c5ea,18022026-151638,,
491,heeft,,Association,,{D90E822D-7EF8-4ea6-AF5C-4A4362577941},heeft,,,association-relationship,5e6de92c-30d3-4f93-9438-d33cba1df66d,04bc18ef-7530-4fd3-82e4-2503e9229bbe,126c564a-16fa-4e61-b52d-3af4968904d8,18022026-151638,,
492,voor,,Association,,{43EF5733-B976-4f21-9906-5349FD861BB5},,,,,,,,18022026-151638,,
493,betreft,,Association,nan,{D3EF17C3-8100-4a61-9E67-F20924C15CEA},betreft,nan,nan,association-relationship,50c98e96-4d8b-48d1-b693-36dd3bb5f0a5,88554f73-87e4-45e5-999e-4b5d029f15a9,15fbcddb-67b4-48a7-b2a6-1c11c514130b,18022026-151638,,
494,betreft,,Association,nan,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},betreft,nan,nan,association-relationship,54619cfb-73c1-44bb-84d9-2fbd4ad4f4d4,15fbcddb-67b4-48a7-b2a6-1c11c514130b,113af80a-7e3e-41f6-8f79-8d0d48c4c257,18022026-151638,,
495,betreft,,Association,,{FF566C6B-077B-4914-8AF7-40EB1EDD388A},,,,,,,,18022026-151638,,
496,leverancier,,Association,nan,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},leverancier,nan,nan,association-relationship,ac5d3c87-a86f-4f20-b47b-f2e58dfa9925,021bf2ce-98b1-4ca5-8785-4cc902b98f10,113af80a-7e3e-41f6-8f79-8d0d48c4c257,18022026-151638,,
497,valt binnen,,Association,,{42EBA101-3E51-46d5-A234-EC7BA991D3AF},,,,,,,,18022026-151638,,
498,heeft prijs,,Association,nan,{BF7BAB5F-7025-4792-8288-47F5B1C53E95},heeft prijs,nan,nan,association-relationship,a187007e-8c1e-4feb-9da4-4340ba089e2a,021bf2ce-98b1-4ca5-8785-4cc902b98f10,eab684dd-ef28-42f6-adcc-f9b513859a0d,18022026-151638,,
499,valt binnen,,Association,,{2A7D73D7-87EA-4b61-88BB-F061DDBF52D9},,,,,,,,18022026-151638,,
500,voor,,Association,,{3B84D5F0-FCA3-47a5-B90C-F0834DAD6EBD},voor,,,association-relationship,b454f3a8-7ce2-4e4a-babd-fa7114cdfec9,baedc106-49fc-4fdc-9af2-cd5116319468,04bc18ef-7530-4fd3-82e4-2503e9229bbe,18022026-151638,,
501,locatie,,Association,nan,{98F3132E-F97A-4f49-B4F5-28618BB693F8},locatie,nan,nan,association-relationship,1a957821-6423-4a59-b93c-988475bf2c71,e963434a-50be-4619-b041-58689adc00de,c9503a2a-eb9b-450f-954d-e374ac65198e,18022026-151638,,
502,onderdeel,,Association,nan,{069C9894-5E07-4c95-AC28-EB4A5EBFD165},onderdeel,nan,nan,association-relationship,ebcc1e5e-53d4-491c-8a96-35e01a9a95c2,e963434a-50be-4619-b041-58689adc00de,7be642b3-e95f-4f1a-9415-d95c38346e9f,18022026-151638,,
503,versturen aan,,Association,,{C73389B7-7BCD-4496-888B-6ABEE9DE01FB},versturen aan,,,association-relationship,b1b5c6cc-02a2-4dc0-a60f-b1c3d284fd14,e2fc8a77-696d-4f3d-9fe3-9f7611ca70ae,baedc106-49fc-4fdc-9af2-cd5116319468,18022026-151638,,
504,betreft,,Association,,{BBCF9DBE-70AD-431c-B698-7F0D69D07050},betreft,,,association-relationship,c57bdd09-e64b-41a4-aa15-605fd79bc924,e9994c3e-e837-40c2-a589-3e1b021c6017,e963434a-50be-4619-b041-58689adc00de,18022026-151638,,
505,valt binnen,,Association,,{0598561F-667E-4926-9BF5-66A928358E9F},valt binnen,,,association-relationship,426c1c17-1895-4dc3-8302-25bac143d3f7,baedc106-49fc-4fdc-9af2-cd5116319468,69fbf6d0-3145-4563-950e-2e2f51d837db,18022026-151638,,
506,bevat,,Association,nan,{BBCF9DBE-70AD-431c-B698-7F0D69D07050},bevat,nan,nan,association-relationship,2b6f274d-d084-4526-9eb6-b31058c018f6,65fad3a5-bce6-4c9f-814e-23e42d0f91fd,e963434a-50be-4619-b041-58689adc00de,18022026-151638,,
507,betreft,In TMS loopt dit via LoanObjRefs,Association,nan,{452312FD-05FB-4abc-A48B-C605F7E3E193},betreft,In TMS loopt dit via LoanObjRefs,nan,association-relationship,e7cbf0c8-cb48-48c8-b67f-74dc217bf513,e963434a-50be-4619-b041-58689adc00de,d1a889c0-4455-4121-9def-df4004050918,18022026-151638,,
