nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
24,kp_onstaan_uit,,Class,,{DCF0623A-694F-4b82-B615-F499F169C19A},,Vastgoed,,,id-dcf0623a-694f-4b82-b615-f499f169c19a,Data object,21022024-11:03:02,,,,,,,,
25,LOCATIEAANDUIDING WOZ OBJECT,Nadere aanduiding van het WOZ-object,Class,,{0B3F8A89-F21E-4bea-9620-8D6713AB632C},,Vastgoed,,,id-0b3f8a89-f21e-4bea-9620-8d6713ab632c,Business object,21022024-11:03:02,,,,,,,,
26,LocatieOnroerendeZaak ,Locatie van een geregistreerd goed,Class,,{049E7FD0-D515-4057-9C87-A09980C5DE6A},,Vastgoed,,,id-049e7fd0-d515-4057-9c87-a09980c5de6a,Data object,21022024-11:03:02,,,,,,,,
27,MJOP,Meerjaren Onderhoudsplanning,Class,,{A110896B-0CAD-46cf-9226-840DEE3328F0},,Vastgoed,,,id-a110896b-0cad-46cf-9226-840dee3328f0,Business object,21022024-11:03:02,,,,,,,,
28,MJOP-Item,Onderdeel van een MJOP,Class,,{54697170-4C4D-40f6-9E08-35DF1970B8C6},,Vastgoed,,,id-54697170-4c4d-40f6-9e08-35df1970b8c6,Data object,21022024-11:03:02,,,,,,,,
29,NAD_AanvullingBRP,,Class,,{46386087-923F-402e-BB6B-6DE39D73349A},,Vastgoed,,,id-46386087-923f-402e-bb6b-6de39d73349a,Data object,21022024-11:03:02,,,,,,,,
30,Objectrelatie,Relatie tot een object,Class,,{3EA09322-144A-407d-86C4-FCC8C041C826},,Vastgoed,,,id-3ea09322-144a-407d-86c4-fcc8c041c826,Data object,21022024-11:03:02,,,,,,,,
31,Offerte,"Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ",Class,,{EF55544A-F59B-4411-A3D2-9C1A2BA2663C},,Vastgoed,,,id-ef55544a-f59b-4411-a3d2-9c1a2ba2663c,Data object,21022024-11:03:02,,,,,,,,
32,Pachter,Een persoon die een pachtovereenkomst heeft met de eigenaar van een perceel voor het gebruik als landbouwgrond.,Class,,{EDC8B01F-4802-4562-BC41-C2CAD76880B6},,Vastgoed,,,id-edc8b01f-4802-4562-bc41-c2cad76880b6,Business object,21022024-11:03:02,,,,,,,,
33,Prijzenboekitem,Onderdeel van een prijzenboek,Class,,{697512E4-0C8E-4be8-8E95-9E2E4BD50F85},,Vastgoed,,,id-697512e4-0c8e-4be8-8e95-9e2e4bd50f85,Data object,21022024-11:03:02,,,,,,,,
