,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-target-guid,toelichting,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,datum-tijd-export
452,verwijst naar,,Association,{7DDC58CC-BE7F-4f50-88A8-B9182F731ED3},{9AEA61EB-86B2-49cc-B3EB-F40C9235B68C},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
453,,,Generalization,{EE1A50E8-EF34-4a9e-AD32-D985C4EB6147},{51C8E3DF-FFF4-4a20-9CB2-AA5FA50579E2},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
454,heeft,,Association,{E0BB1B06-DD1A-4a88-B7F2-D426177F8198},{CFFD5F20-5FA9-4d93-AD34-6867D64A58B9},{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,,,,,25102023-07:53:00
455,heeft,,Association,{5DBF09CA-CB0A-42e4-A90A-3BAAD6B7E95E},{B8584CD2-A54A-4a59-82B6-A597A0864CFA},{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,,,,,25102023-07:53:00
456,heeft,,Association,{744F71E2-CC6B-48ae-9683-DCAC2E276019},{252C70B1-4E02-4033-B2B5-86F65496D7AB},{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,,,,,25102023-07:53:00
457,betreft,,Association,{EAE2E17D-3BF0-41ec-8ADC-0EED4B925F6D},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,,,,,25102023-07:53:00
458,betreft,,Association,{C9573A24-CBB6-4eef-80CA-B9BDB0AE36CE},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,,,,,25102023-07:53:00
459,,,Generalization,{7B3B179E-1F43-4cd6-864A-08033CF2A7FD},{B8584CD2-A54A-4a59-82B6-A597A0864CFA},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
460,,,Generalization,{1B05EE50-C227-4105-A8EF-BAC608792E54},{697F1730-B439-4b35-8799-1B2E9AB04548},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
461,,,Generalization,{97F65B17-8224-4d6a-BAD5-386318B4E64D},{90E49701-2A06-4669-9199-6FCFDFCA707A},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
462,,,Generalization,{F42E2F80-5BFB-4c4f-86CB-CF56FDC2DC02},{81870665-768C-4fb2-8A4F-A9CB7989C884},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
463,leidt tot,,Association,{4D75AD5B-9FC4-4e2d-9C3B-A3ED4EDFB067},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
464,,,Generalization,{140A039F-3BE5-4f0f-B506-40EEFEA11323},{70E3C6AF-1117-4cfc-B61F-0D168010FFB9},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,,,,,25102023-07:53:00
465,,,Generalization,{A2FD81A4-C8A2-4f5f-8C26-CEB12E0C6D0D},{252C70B1-4E02-4033-B2B5-86F65496D7AB},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},,,,,,25102023-07:53:00
466,,,Generalization,{654A0103-3CC2-4580-9F2C-EE4E8E2C0AF1},{E9DECE41-F7F5-49f1-94B5-63DE941F6094},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},,,,,,25102023-07:53:00
467,,,Generalization,{6610A986-57EF-4b25-BB8D-5BCD606A5E52},{450F47A7-758F-400c-82EB-05535EBDD426},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},,,,,,25102023-07:53:00
468,verantwoordelijke ouder,,Association,{1B912C26-ACAD-49a8-B48D-1F1D8B8BFD26},{697F1730-B439-4b35-8799-1B2E9AB04548},{51C8E3DF-FFF4-4a20-9CB2-AA5FA50579E2},,,,,,25102023-07:53:00
