,naam,definitie,archimate-type,uml-type,gemma-guid,ggm-guid,bron,toelichting,toelichting,synoniemen,domein-iv3,domein-dcat,domein-gemma,datum-tijd-export
12,Telefoonstatus,"<ul>
 <li>ABANDONEDALERTING: “Opgehangen tijdens overgaan telefoon”</li>
 <li>DROPPEDCANCELED: “Opgehangen door systeem”</li>
 <li>ABANDONEDQUEUED: “Opgehangen tijdens wachten, zonder boodschap. ”</li>
 <li>CONNECTEDDIRECT: “Direct verbonden”</li>
 <li>CONNECTEDQUEUEDANNOUNCE: “Verbonden na wachtrij met boodschap”</li>
 <li>AbandonedQUEUEDANNOUNCE: “Opgehangen in wachtrij met boodschap”</li>
 <li>DroppedBusy: “Opgehangen door systeem, te druk”</li>
 <li>REJECTED: “Geweigerd door systeem”</li>
 <li>Droppedoverload: “Opgehangen door systeem vanwege overbelasting”</li>
</ul>",Data object,Class,id-d8a82a45-03c3-44d5-af32-3138a55b2e75,{D8A82A45-03C3-44d5-AF32-3138A55B2E75},,,,,,,,25102023-07:53:00
13,Telefoontje,"De telefoontjes zijn alle keren dat iemand naar de gemeente belt en het telefoonsysteem neemt deze telefoontjes aan. Ongeacht of iemand daarna ophangt, door het systeem uit de wachtrij wordt gezet, doorverbonden wordt met een derde partij of er werkelijk wordt opgenomen.     ",Business object,Class,id-eeb60e10-c244-4176-ab68-f0e30759269f,{EEB60E10-C244-4176-AB68-F0E30759269F},,,,,,,,25102023-07:53:00
14,Aanbesteding,Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen.,Data object,Class,id-17fcef39-ab9d-4516-9c60-1dda61d87356,{17FCEF39-AB9D-4516-9C60-1DDA61D87356},,,,,,,,25102023-07:53:00
15,Adresaanduiding,De adresaanduiding van het WOZ-OBJECT,Data object,Class,id-909e635b-e33d-4ded-8471-900cd175b7d1,{909E635B-E33D-4ded-8471-900CD175B7D1},,,,,,,,25102023-07:53:00
16,Bouwdeel,"Zelfstandig en aanwijsbaar deel van een element, onderscheiden naar samenstelling of constructiewijze, bestaande uit √©√©n of meer componenten waaraan technische eigenschappen en een onderhoudshistorie kunnen worden gerelateerd (bron: Conditiemeting gebouwde omgeving - Deel 1: Methodiek, code: 3.3)",Data object,Class,id-9a739672-6084-4c05-a13e-59db13551e58,{9A739672-6084-4c05-A13E-59DB13551E58},,,,,,,,25102023-07:53:00
17,Bouwdeelelement,Onderdeeel van een bouwdeel,Data object,Class,id-be147761-326e-4859-9366-5157ce865ec1,{BE147761-326E-4859-9366-5157CE865EC1},,,,,,,,25102023-07:53:00
18,CultuurOnbebouwd,Een aanduiding voor de soort cultuur van het onbebouwde gedeelte van de onroerende zaak.,Business object,Class,id-01c1622d-23e7-4a63-9b63-f45ca63e76ca,{01C1622D-23E7-4a63-9B63-F45CA63E76CA},,,,,,,,25102023-07:53:00
19,Eigenaar,Eigenaar is een persoon die de eigenaar is van een gebouw of stuk grond en ook alle rechten daarvan bezit.,Business object,Class,id-5e06339c-13ee-44ca-bc40-0fc4b9dc8349,{5E06339C-13EE-44ca-BC40-0FC4B9DC8349},,,,,,,,25102023-07:53:00
20,Gebruiksdoel,Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan worden verbijzonderd.,Business object,Class,id-a5975ef7-558a-44fa-a656-ab43580d8c35,{A5975EF7-558A-44fa-A656-AB43580D8C35},,,,,,,,25102023-07:53:00
21,Huurder,Een partij die een zaak of een gedeelte daarvan in gebruik verstrekt heeft gekregen en zich heeft verbonden tot een tegenprestatie.,Business object,Class,id-b75ee7ef-dc1f-47da-a95c-b9662075684d,{B75EE7EF-DC1F-47da-A95C-B9662075684D},,,,,,,,25102023-07:53:00
