nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-guid,GEMMA-type,GEMMA-type,datum-tijd-export,GGM-toelichting
184,Gemeentebegrafenis,Teraardebestelling onder verantwoordelijjkheid van de gemeente.,Class,,{F2DBE01F-7535-4f26-9DF2-081EF8632F36},,,,,Gemeentebegrafenis,Teraardebestelling onder verantwoordelijjkheid van de gemeente.,,,,https://gemmaonline.nl/index.php/GEMMA/id-a0f96391-4935-4c7a-be2b-2fa1b00da57f,,a0f96391-4935-4c7a-be2b-2fa1b00da57f,,business-object,,04062025-090332,
185,AOM_AanvraagWmoJeugd,,Class,,{BE7C28C6-0922-4c6a-A953-3D598D991AB5},,,,,AOMAanvraagWMOJeugd,,,,,https://gemmaonline.nl/index.php/GEMMA/id-3545eb93-e19a-4b1f-b3f2-03b79b30b200,,3545eb93-e19a-4b1f-b3f2-03b79b30b200,,business-object,,04062025-090332,
186,AOMMeldingWMOJeugd,,Class,,{0FA25A4F-DF7F-4feb-9460-19D054E874F8},,,,,,,,,,,,,,,,04062025-090332,
187,Beperking,"Een stoornis of conditie ‚ lichamelijk, zintuiglijk en-of geestelijk ‚ die een normaal maatschappelijk functioneren belemmert en nadelige sociale gevolgen met zich meebrengt.",Class,,{F110608E-9C6A-4d66-BDCB-F4B2465E3CFD},,,,,Beperking,"Een stoornis of conditie ‚ lichamelijk, zintuiglijk en-of geestelijk ‚ die een normaal maatschappelijk functioneren belemmert en nadelige sociale gevolgen met zich meebrengt.",,,,https://gemmaonline.nl/index.php/GEMMA/id-b883410b-ba90-45a0-a9f0-f16b8e1fa9ac,,b883410b-ba90-45a0-a9f0-f16b8e1fa9ac,,business-object,,04062025-090332,
188,Beperkingscategorie,Een categorisering van beperkingen,Class,,{4E835898-6623-457f-99B4-C688D465F720},,,,,,,,,,,,,,,,04062025-090332,
189,Beperkingscore,Getalsmatige duiding van een beperking,Class,,{5EDE0349-8865-4b90-9A18-235C5AA660C4},,,,,Beperkingscore,Getalsmatige duiding van een beperking,,,,https://gemmaonline.nl/index.php/GEMMA/id-8d15d21d-4e39-4dcb-b9f7-be128f6b324a,,8d15d21d-4e39-4dcb-b9f7-be128f6b324a,,business-object,,04062025-090332,
190,Beperkingscoresoort,Typering van beperkingscores,Class,,{6B63630A-8A30-454d-B8C4-252D4C30A3BF},,,,,,,,,,,,,,,,04062025-090332,
191,Beschikking,"In het bestuursrecht: Een beslissing van een overheidsorgaan in een concreet geval, bijvoorbeeld het verlenen van een bouwvergunning. In het civiele recht: een rechterlijke uitspraak in een procedure die begint met een verzoekschrift.",Class,,{71D7E96D-641A-4b6a-A325-DED07C3B5836},,,,,Beschikking,"In het bestuursrecht: Een beslissing van een overheidsorgaan in een concreet geval, bijvoorbeeld het verlenen van een bouwvergunning. In het civiele recht: een rechterlijke uitspraak in een procedure die begint met een verzoekschrift.",,,,https://gemmaonline.nl/index.php/GEMMA/id-c481e8b8-f7d7-4979-b767-ebf2a9b04712,,c481e8b8-f7d7-4979-b767-ebf2a9b04712,,business-object,,04062025-090332,
192,Beschikkingsoort,Typering van een beschikking,Class,,{FD14E04F-26A1-42ba-8E47-5F43AF539877},,,,,,,,,,,,,,,,04062025-090332,
193,Beschikte Voorziening,Een voorziening waarover een beschikking is gedaan.,Class,,{975C3DA3-930A-49d8-B54F-2A560DC2AD5A},,,,,BeschikteVoorziening,Een voorziening waarover een beschikking is gedaan.,,,,https://gemmaonline.nl/index.php/GEMMA/id-38610e76-2c3e-429a-b30b-1fd21f05c8fc,,38610e76-2c3e-429a-b30b-1fd21f05c8fc,,business-object,,04062025-090332,
194,Budgetuitputting,Overzicht van de te verwachte inkomsten en uitgaven over een bepaalde periode,Class,,{679162ED-0B45-4fb2-B16E-421C25A107F5},,,,,,,,,,,,,,,,04062025-090332,
195,Declaratie,Een opgave van te vergoeden kosten.,Class,,{5E542F35-E413-49c4-8FB7-335B6BE9667A},,,,,Declaratie,Een opgave van te vergoeden kosten.,,,,https://gemmaonline.nl/index.php/GEMMA/id-645ed017-feb5-40b0-82ae-990745bdb549,Declaratie (Generiek Jeugd en Wmo),645ed017-feb5-40b0-82ae-990745bdb549,,business-object,,04062025-090332,
196,Declaratieregel,,Class,,{F73F6BFE-9CFE-4497-80E3-CADAA344CF69},,,,,,,,,,,,,,,,04062025-090332,
197,Leefgebied,Gebied waarin alle activiteiten van een inwoner zich kunnen afspelen,Class,,{C55180D9-A5C3-4859-BD88-7686F5384157},,,,,Leefgebied,Gebied waarin alle activiteiten van een inwoner zich kunnen afspelen,,,,https://gemmaonline.nl/index.php/GEMMA/id-c80348b6-b173-41ab-9bf6-3a1a780d0fb3,,c80348b6-b173-41ab-9bf6-3a1a780d0fb3,,business-object,,04062025-090332,
198,Levering,"Levering van zorg door leverancier. Is in het geval van resultaatverplichting steeds: 1 stuk

In PxQ uren maal tarief",Class,,{F0CE97B6-3004-4424-A0AA-5034BC0144D1},,,,,Levering,"Levering van zorg door leverancier. Is in het geval van resultaatverplichting steeds: 1 stuk

In PxQ uren maal tarief",,,,https://gemmaonline.nl/index.php/GEMMA/id-cc667191-bb35-45a0-a231-504b663b70f1,,cc667191-bb35-45a0-a231-504b663b70f1,,business-object,,04062025-090332,
199,Leveringsvorm,"Zorg die onder de Wlz, de Zvw-Wijkverpleging of de Wmo 2015 valt, kan aan personen als zorg in natura (zin) worden geleverd of bekostigd worden uit een persoonsgebonden budget (pgb).",Class,,{F35DA519-FA0C-48ae-9EFC-C4EBEC4BF144},,,,,,,,,,,,,,,,04062025-090332,
200,Melding Eigen bijdrage,Aangifte van de evetuele eigen bijdrage,Class,,{A9D093FB-B3D1-46e5-B263-6C4D61F0C5D1},,,,,MeldingEigenBijdrage,Aangifte van de evetuele eigen bijdrage,,,,https://gemmaonline.nl/index.php/GEMMA/id-57035c38-5be2-432e-88aa-ba59029c984c,,57035c38-5be2-432e-88aa-ba59029c984c,,business-object,,04062025-090332,
201,PGB-Toekenning,"Betreft alleen toegekende voorzieningen met als leveringsvorm PGB
Opgebouwd op basis van het TKB (Toekenninsgbericht) aan het SVB, en het BAB-bericht (budgetafsluiting). zie: https://istandaarden.nl/istandaarden/ipgb 

 ",Class,,{84FE9B56-158D-4b65-BCC1-5FE29D071FCC},,,,,PGBToekenning,"Betreft alleen toegekende voorzieningen met als leveringsvorm PGB
Opgebouwd op basis van het TKB (Toekenninsgbericht) aan het SVB, en het BAB-bericht (budgetafsluiting). zie: https://istandaarden.nl/istandaarden/ipgb",,,,https://gemmaonline.nl/index.php/GEMMA/id-2cc8ad38-97f9-4462-83af-cb5556bffd88,,2cc8ad38-97f9-4462-83af-cb5556bffd88,,business-object,,04062025-090332,
202,Score,Het aantal behaalde punten,Class,,{5A367DA9-DE05-4b3b-954D-24271FD4FB76},,,,,Score,Het aantal behaalde punten,,,,https://gemmaonline.nl/index.php/GEMMA/id-75a56fd7-b2b2-4a08-9b09-8235d4592cae,,75a56fd7-b2b2-4a08-9b09-8235d4592cae,,business-object,,04062025-090332,
203,Scoresoort,Typologie van score,Class,,{653EA248-1547-4f8b-B026-B44FEEC711B2},,,,,,,,,,,,,,,,04062025-090332,
204,Tarief,Hoogte van een bedrag voor een bepaald product of dient,Class,,{57F01465-EE56-4c33-9BD9-8DB351A2C530},,,,,Tarief,Hoogte van een bedrag voor een bepaald product of dient,,,,https://gemmaonline.nl/index.php/GEMMA/id-a842e972-764b-4dd8-ad79-f537d4e68565,,a842e972-764b-4dd8-ad79-f537d4e68565,,business-object,,04062025-090332,
205,Team,"Een groep personen die door middel van samenwerking een gezamenlijk doel nastreeft, waarbij de teamleden afhankelijk van elkaar zijn om het doel te bereiken.",Class,,{909A4134-4697-481e-9110-6386D0F6CAAD},,,,,Team,"Een groep personen die door middel van samenwerking een gezamenlijk doel nastreeft, waarbij de teamleden afhankelijk van elkaar zijn om het doel te bereiken.",,,,https://gemmaonline.nl/index.php/GEMMA/id-016ea33a-4ba2-45d7-ae45-616eeedcc567,,016ea33a-4ba2-45d7-ae45-616eeedcc567,,business-object,,04062025-090332,
206,Toewijzing,Toewijzing die door gemeente aan zorgaanbieder wordt gestuurd. zie https://informatiemodel.istandaarden.nl/2019/views/view_274300.html ,Class,,{01ECE551-A7B0-4b99-B6E7-F654D6AC15D5},,,,,Toewijzing,Toewijzing die door gemeente aan zorgaanbieder wordt gestuurd. zie https://informatiemodel.istandaarden.nl/2019/views/view_274300.html,,,,https://gemmaonline.nl/index.php/GEMMA/id-53cc8281-81c1-40c8-901d-2751e34ea367,,53cc8281-81c1-40c8-901d-2751e34ea367,,business-object,,04062025-090332,
207,Verplichting WMO Jeugd,,Class,,{EC0FB9CB-B407-49b4-8FCF-8837E7A72DA9},,,,,Verplichting WMO Jeugd,,,,,https://gemmaonline.nl/index.php/GEMMA/id-7c5fd54e-88dd-4738-95ec-5164d6c6af35,,7c5fd54e-88dd-4738-95ec-5164d6c6af35,,business-object,,04062025-090332,
208,Verzoek om Toewijzing,"Verzoek tot toewijzing dat vanuit leverancier (via H10-portal) aan de gemeente wordt gestuurd. Zie https://informatiemodel.istandaarden.nl/2019/views/view_274300.html

 ",Class,,{9F392B0B-1654-4b4e-9261-F0A90DA1F7BD},,,,,VerzoekOmToewijzing,Verzoek tot toewijzing dat vanuit leverancier (via H10-portal) aan de gemeente wordt gestuurd. Zie https://informatiemodel.istandaarden.nl/2019/views/view_274300.html,,,,https://gemmaonline.nl/index.php/GEMMA/id-e643dc04-a205-421d-ab23-c6da046b1642,,e643dc04-a205-421d-ab23-c6da046b1642,,business-object,,04062025-090332,
209,Voorziening,Middel om services/maatregelen in te vullen.,Class,,{EAAF2F59-6BC0-4243-B126-A8E604B32C5E},,,,,Voorziening,Middel om services/maatregelen in te vullen.,,,,https://gemmaonline.nl/index.php/GEMMA/id-8ffe8caf-2af7-47e5-acc5-c4e6fd5f38b1,Voorziening (Generiek Jeugd en Wmo),8ffe8caf-2af7-47e5-acc5-c4e6fd5f38b1,,business-object,,04062025-090332,
210,Voorzieningsoort,Typering van een voorziening,Class,,{462E3982-56C3-4442-BE2F-2C23A7ED6015},,,,,,,,,,,,,,,,04062025-090332,
211,Zelfredzaamheidmatrix,Een geordend systeem waarbij aan elf domeinen van het dagelijks leven (zoals inkomen en dagbesteding; zie figuur) een waarde voor zelfredzaamheid wordt toegekend.,Class,,{6C27D3D1-FBCE-4504-AF1E-48B4A4CB02EA},,,,,ZelfredzaamheidMatrix,Een geordend systeem waarbij aan elf domeinen van het dagelijks leven (zoals inkomen en dagbesteding; zie figuur) een waarde voor zelfredzaamheid wordt toegekend.,,,,https://gemmaonline.nl/index.php/GEMMA/id-4f3a28d3-464a-42c3-97e1-39231e5f7bf1,,4f3a28d3-464a-42c3-97e1-39231e5f7bf1,,business-object,,04062025-090332,
212,Asielstatushouder,De Inburgeringsplichtige die rechtmatig verblijf heeft,Class,,{598F7015-C6B5-4eed-80A6-139B62324678},,,,,Asielstatushouder,De Inburgeringsplichtige die rechtmatig verblijf heeft,,,,https://gemmaonline.nl/index.php/GEMMA/id-3991c605-2abb-4185-b7ce-1adf5966e3c7,,3991c605-2abb-4185-b7ce-1adf5966e3c7,,business-object,,04062025-090332,
213,B1,,Class,,{E5FC387A-F29B-460f-9811-3E6E1782B049},,,,,,,,,,,,,,,,04062025-090332,
214,Brede Intake,"De Brede Intake in het sociaal domein is een gestructureerd proces waarbij een hulpverlener samen met een inwoner diens situatie, behoeften, en problemen in kaart brengt om tot een integraal beeld te komen van wat nodig is om passende ondersteuning te bieden. Hierbij wordt niet alleen gekeken naar specifieke hulpvragen, zoals schulden of werkloosheid, maar ook naar onderliggende factoren, zoals gezondheidsproblemen, woonsituatie, en sociaal netwerk. Het doel is om vanuit een holistisch perspectief samenhangende oplossingen te vinden en de inwoner te ondersteunen bij het versterken van zelfredzaamheid en participatie.",Class,,{8B394DCE-C3C4-4262-9460-8EF130E90D83},,,,,Brede Intake,,,,,https://gemmaonline.nl/index.php/GEMMA/id-2d7f4231-96e8-4424-a656-c52473ea36dc,,2d7f4231-96e8-4424-a656-c52473ea36dc,,business-object,,04062025-090332,
215,Examen,"Een Examen in de context van onderwijs is een formele toetsingsactiviteit waarmee de kennis, vaardigheden en competenties van een leerling of student worden beoordeeld ten opzichte van vooraf vastgestelde leerdoelen of eindtermen. Het examen kan schriftelijk, mondeling, digitaal of praktijkgericht zijn en vormt doorgaans een afsluiting van een cursus, module of opleiding. Het behalen van een examen kan leiden tot het verkrijgen van een diploma, certificaat of overgangsbewijs en is bedoeld om de voortgang en geschiktheid voor verdere studie of beroep te waarborgen.",Class,,{DCE46ABA-613D-4204-86F4-35F517FF680F},,,,,Examen,,,,,https://gemmaonline.nl/index.php/GEMMA/id-ccce5500-2140-4928-9716-0132a31e9686,,ccce5500-2140-4928-9716-0132a31e9686,,business-object,,04062025-090332,
216,Examenonderdeel,"Een Examenonderdeel in de context van onderwijs is een specifieke, afgebakende component van een examen waarin een deelaspect van de leerdoelen of eindtermen wordt getoetst. Het kan betrekking hebben op een specifiek vak, thema of vaardigheid en kan bestaan uit verschillende toetsvormen, zoals meerkeuzevragen, essays, praktijkopdrachten of mondelinge presentaties. Het examenonderdeel draagt bij aan de totaalscore of het eindresultaat van het examen en kan afzonderlijk beoordeeld en gewaardeerd worden.",Class,,{D41DCE2D-4AD5-45b8-9527-EC416F4A4CC7},,,,,,,,,,,,,,,,04062025-090332,
217,"Gezinsmigrant en Overige migrant
","Object Inburgeraar is gespecialiseerd in Asielstatushouder en Gezinsmigrant en Overige Migrant.

Gezinsmigrant en Overige Migrant heeft geen kenmerken en is bedoeld om relaties te leggen met objecten die alleen van toepassing zijn voor Gezinsmigrant en Overige Migrant zoals bijvoorbeeld: object Aanvraag Sociale Lening. Hetzelfde geldt ook voor object Asielstatushouder, deze heeft overigens wel kenmerken.",Class,,{526489DC-4D57-4e6d-8338-5F7C898162F6},,,,,Gezinsmigrant en Overige migrant,"Object Inburgeraar is gespecialiseerd in Asielstatushouder en Gezinsmigrant en Overige Migrant.

Gezinsmigrant en Overige Migrant heeft geen kenmerken en is bedoeld om relaties te leggen met objecten die alleen van toepassing zijn voor Gezinsmigrant en ",,,,https://gemmaonline.nl/index.php/GEMMA/id-61601c33-5b61-4bab-9191-e7eb1b1bca07,,61601c33-5b61-4bab-9191-e7eb1b1bca07,,business-object,,04062025-090332,
218,Inburgeraar,"De gemeente gaat inburgeringsplichtige nieuwkomers begeleiden bij hun inburgering. Voor asielstatushouders doen zij dit vanaf het moment van koppeling  aan een gemeente
",Class,,{EE5472C2-193E-4432-B175-78D6DF1D357B},,,,,Inburgeraar,De gemeente gaat inburgeringsplichtige nieuwkomers begeleiden bij hun inburgering. Voor asielstatushouders doen zij dit vanaf het moment van koppeling  aan een gemeente,,,,https://gemmaonline.nl/index.php/GEMMA/id-b0cd75ba-28f2-4950-bb79-6ceb662eb6fa,,b0cd75ba-28f2-4950-bb79-6ceb662eb6fa,,business-object,,04062025-090332,
219,Inburgeringstraject,"Een Inburgeringstraject in de context van inburgering bij gemeenten is een persoonlijk begeleidingstraject dat nieuwkomers ondersteunt bij het leren van de Nederlandse taal, het begrijpen van de samenleving, en het ontwikkelen van vaardigheden om zelfstandig te participeren in de Nederlandse maatschappij. Het traject omvat doorgaans onderdelen zoals taallessen (NT2), kennis van de Nederlandse maatschappij (KNM), en participatieactiviteiten, zoals vrijwilligerswerk of een werkstage. Het inburgeringstraject wordt afgestemd op de behoeften, achtergrond en mogelijkheden van de nieuwkomer en heeft als doel hen te begeleiden naar maatschappelijke zelfredzaamheid en een actieve rol in de samenleving.",Class,,{F9B2A863-63C8-4229-906A-D0891BB4F021},,,,,Inburgeringstraject,,,,,https://gemmaonline.nl/index.php/GEMMA/id-e1620918-61a7-4cef-b0e2-6b8e206608c8,,e1620918-61a7-4cef-b0e2-6b8e206608c8,,business-object,,04062025-090332,
220,KNM?,,Class,,{38CD50D1-D0D2-4550-BBAF-5FDC52C8109F},,,,,KNM?,,,,,https://gemmaonline.nl/index.php/GEMMA/id-c0624b12-4a9b-4852-889d-3ad2a18e7583,,c0624b12-4a9b-4852-889d-3ad2a18e7583,,business-object,,04062025-090332,
221,Leerroute,"Een Leerroute in het kader van inburgering is een gepersonaliseerd traject dat is afgestemd op de leer- en ontwikkelbehoeften van een inburgeringsplichtige, gericht op het behalen van de inburgeringsdoelen zoals vastgelegd in de Wet inburgering. Er zijn drie hoofdleerroutes: de B1-route, gericht op het leren van de Nederlandse taal op B1-niveau en voorbereiding op werk of opleiding; de Onderwijsroute, die nieuwkomers voorbereidt op vervolgonderwijs door het behalen van taalniveau B1 of hoger; en de Zelfredzaamheidsroute, bedoeld voor nieuwkomers met een grotere afstand tot de arbeidsmarkt, waarbij de nadruk ligt op het ontwikkelen van praktische taalvaardigheden en maatschappelijke zelfredzaamheid. Iedere leerroute combineert taalonderwijs met participatieactiviteiten en begeleiding, passend bij de persoonlijke situatie van de inburgeraar.",Class,,{51285531-9529-4b2d-9EC6-B6BAEA729D9A},,,,,Leerroute,,,,,https://gemmaonline.nl/index.php/GEMMA/id-ab441c2e-d5a6-4546-b1b8-a08d3bee1c07,,ab441c2e-d5a6-4546-b1b8-a08d3bee1c07,,business-object,,04062025-090332,
222,MAP,,Class,,{2177E7F0-0F76-41b7-B5CA-5FE182355E94},,,,,MAP,,,,,https://gemmaonline.nl/index.php/GEMMA/id-25fe4f05-5edf-451d-9c67-1dd286a162af,,25fe4f05-5edf-451d-9c67-1dd286a162af,,business-object,,04062025-090332,
223,Onderwijs,"Onderwijs is het gestructureerde proces van kennisoverdracht, vaardigheidsontwikkeling en vorming, waarbij leerlingen of studenten worden begeleid in hun intellectuele, sociale en persoonlijke groei. Het vindt plaats in diverse vormen en settings, zoals scholen, universiteiten of beroepsopleidingen, en wordt uitgevoerd door bevoegde onderwijsprofessionals. Onderwijs heeft als doel individuen voor te bereiden op deelname aan de samenleving, hun potentieel te ontwikkelen en hen in staat te stellen zelfstandig bij te dragen aan hun persoonlijke en professionele leven.",Class,,{E4266DEA-CDB0-4568-AB4D-8B3C21976E82},,,,,,,,,,,,,,,,04062025-090332,
224,ParticipatieComponent,,Class,,{0BA6F50C-B184-41d6-84E1-A587F550098A},,,,,,,,,,,,,,,,04062025-090332,
225,PIP,,Class,,{94EB7844-F863-4330-A15A-06ED4D1401E0},,,,,PIP,,,,,https://gemmaonline.nl/index.php/GEMMA/id-a1f148c2-d310-45c0-aee9-33e2c641ce37,,a1f148c2-d310-45c0-aee9-33e2c641ce37,,business-object,,04062025-090332,
226,PVT,,Class,,{783B026E-E993-467c-85E0-E90E9E01BAA0},,,,,PVT,,,,,https://gemmaonline.nl/index.php/GEMMA/id-b48d2c3e-646e-4858-b98a-b776f949cd8f,,b48d2c3e-646e-4858-b98a-b776f949cd8f,,business-object,,04062025-090332,
227,Verblijfplaats,"Een verblijfplaats is de locatie waar een persoon feitelijk woont of verblijft, ongeacht of dit permanent of tijdelijk is. Het kan een huis, appartement, kamer, opvanglocatie of andere woonruimte zijn, en wordt vaak gebruikt om iemands woonadres aan te duiden voor juridische, administratieve of sociale doeleinden. De verblijfplaats is doorgaans bepalend voor het ontvangen van voorzieningen, het uitoefenen van rechten, en het voldoen aan verplichtingen binnen een specifieke jurisdictie of gemeenschap.",Class,,{0028CB85-5EF0-45aa-A06F-4A8F14E71AB8},,,,,Verblijfplaats,,,,,https://gemmaonline.nl/index.php/GEMMA/id-397f0d07-8500-40ea-9d3a-a142dc9a94f9,,397f0d07-8500-40ea-9d3a-a142dc9a94f9,,business-object,,04062025-090332,
228,Verblijfplaats AZC,,Class,,{40C9655E-15CF-4b46-8B59-FD8D4CBC57B5},,,,,Verblijfplaats AZC,,,,,https://gemmaonline.nl/index.php/GEMMA/id-3f04329f-7828-4b5e-b983-85a4d2dcd305,,3f04329f-7828-4b5e-b983-85a4d2dcd305,,business-object,,04062025-090332,
229,Vreemdeling,"Een Vreemdeling is een Natuurlijk Persoon die de Nederlandse Nationaliteit niet bezit en niet op grond van een wettelijke bepaling als Nederlander wordt behandeld.
",Class,,{3BBDD95F-6586-4591-BBD0-D04D1CF2801E},,,,,Vreemdeling,Een Vreemdeling is een Natuurlijk Persoon die de Nederlandse Nationaliteit niet bezit en niet op grond van een wettelijke bepaling als Nederlander wordt behandeld.,,,,https://gemmaonline.nl/index.php/GEMMA/id-c232f5e4-e589-4c91-9bf2-5649f41a10f0,,c232f5e4-e589-4c91-9bf2-5649f41a10f0,,business-object,,04062025-090332,
230,Z,,Class,,{9FE5683A-001F-4570-992F-34369F72451C},,,,,,,,,,,,,,,,04062025-090332,
231,Informering,,Class,,{ACC7A392-9A16-42a8-A58E-1E8E6826B2D0},,,,,,,,,,,,,,,,04062025-090332,
232,Leefgebied,"Een Leefgebied in het kader van jeugdbescherming verwijst naar een specifiek domein binnen het leven van een kind of jongere waarin factoren van invloed zijn op diens veiligheid, welzijn en ontwikkeling. Voorbeelden van leefgebieden zijn gezinssituatie, onderwijs, sociale relaties, gezondheid, vrije tijd en financiën. Bij jeugdbescherming wordt elk leefgebied onderzocht om risico’s en beschermende factoren te identificeren, zodat er een integraal plan kan worden opgesteld om de veiligheid en het welzijn van het kind of de jongere te waarborgen. Leefgebieden vormen daarmee een leidraad voor een holistische benadering in de ondersteuning en interventies.",Class,,{B061E420-187A-49dd-B8DA-2AF3FC5D860F},,,,,,,,,,,,,,,,04062025-090332,
233,Zorgelijke Situatie,"Een zorgelijke situatie in de context van jeugdbescherming is een omstandigheid waarin de veiligheid, gezondheid, of ontwikkeling van een kind of jongere in het geding is door bijvoorbeeld verwaarlozing, mishandeling, huiselijk geweld, of andere risicofactoren. Deze situaties worden gekenmerkt door signalen van fysieke, emotionele of sociale schade of het ontbreken van een veilige en stabiele omgeving. Een zorgelijke situatie kan leiden tot interventie door jeugdbeschermingsorganisaties om de risico’s te verminderen en het kind of de jongere te beschermen en ondersteunen bij een gezonde en veilige ontwikkeling.",Class,,{AEF1825F-C554-4490-975D-93AEA24991A9},,,,,,,,,,,,,,,,04062025-090332,
234,Zorgmelding,"Een Zorgmelding is een officiële melding bij een gemeente of jeugdhulporganisatie waarin zorgen worden geuit over de veiligheid, gezondheid, of ontwikkeling van een kind of jongere. Deze melding kan worden gedaan door professionals, zoals leraren, huisartsen of politie, maar ook door burgers of familieleden. Een zorgmelding bevat signalen of concrete aanwijzingen van mogelijke risico’s, zoals mishandeling, verwaarlozing, huiselijk geweld, of een onveilige thuissituatie. Het doel van een zorgmelding is om de situatie te laten beoordelen en, indien nodig, passende hulp of bescherming te organiseren om het welzijn van het kind of de jongere te waarborgen.",Class,,{B852AF03-A5E0-4148-AFC1-108509FF8BBD},,,,,,,,,,,,,,,,04062025-090332,
235,Aanmelding,"Moment dat een persoon met een hulpvraag komt rondom (dreigende) schulden. Dit kan een persoonlijke, schriftelijke, digitale of telefonische vraag zijn. ",Class,,{1CE06538-3F4A-45ac-AE86-30A4250D3608},,,,,,,,,,,,,,,,04062025-090332,
236,Begeleiding,"Begeleiding voor clienten in het kader van schuldhulpdienstverlening, die kan bestaan uit:
1. budgetbeheer
2. beschermingsbewind
3. budgetcoaching
",Class,,{A1F16832-3F28-4441-8538-74BF04A48562},,,,,,,,,,,,,,,,04062025-090332,
237,Begeleidingssoort,Soort begeleiding in het kader van schuldhulpverlening,Class,,{158BE97A-2031-437b-A5CC-637188EB9968},,,,,,,,,,,,,,,,04062025-090332,
238,Contactpersoon,Contactpersoon van een organisatie,Class,,{B9287881-AD66-4396-A629-ED5FE9196316},,,,,,,,,,,,,,,,04062025-090332,
239,Crisisinterventie,"Het afwenden van een crisis- of dreigende situatie om zo de mogelijkheid te cre&#235;ren om de klant te helpen via de reguliere schuldhulpverlening.
Volgens de Wgs gaat het in elk geval om de volgende situaties:
■ gedwongen woningontruiming;
■ be&#235;indiging van de levering van gas, water, elektriciteit of stadsverwarming;
■ opzegging of ontbinding van de zorgverzekering.
Gemeenten kunnen extra situaties toevoegen aan hun crisisprotocol, zoals:
■ aangekondigde boedelverkoop of verkoop van de eigen woning;
■ loon- of bankbeslag;
■ een faillissementsaanvraag.
En voor ondernemers:
■ beslag op (on)roerende zaken dat het voortbestaan van de onderneming bedreigt;
■ opzegging van het bankkrediet.
",Class,,{0E3205DA-BC88-425b-AF68-882BFB316812},,,,,,,,,,,,,,,,04062025-090332,
240,InformatieEnAdvies,,Class,,{7CC8C026-91CB-422c-84C6-90401889F260},,,,,,,,,,,,,,,,04062025-090332,
241,Inkomen,"Inkomen dat door een persoon wordt verworven uit verschillende mogelijke inkomstenbronnen: inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (m.u.v. kinderbijslag en kindgebonden budget). Premies inkomensverzekeringen (m.u.v. premies voor volksverzekeringen) zijn hierop in mindering gebracht.",Class,,{B2A3D4C2-236C-457f-A2C8-8F889C1427E9},,,,,,,,,,,,,,,,04062025-090332,
242,Intake,"Dit is de fase tussen het eerste gesprek en het Plan van Aanpak. Tijdens de
intakefase wordt geinventariseerd welke instrumenten, ondersteuning, activiteiten en gegevens nodig zijn om een duurzaam financieel
evenwicht te bereiken.",Class,,{F20A11B2-0C6F-4a52-95BF-AB73997C3378},,,,,,,,,,,,,,,,04062025-090332,
243,Leefsituatie,"Leefsituatie is de combinatie van factoren zoals schulden, ondernemerschap, aanwezigheid van een partner, en inkomen, die samen de sociale en economische omstandigheden van een individu bepalen. Deze wordt in het kader van schuldhulpverlening gebruikt om alle relevante zaken van clienten aan te koppelen.",Class,,{5CC59215-5A63-4ef8-9D64-C4FAC0619121},,,,,FinancieleSituatie,Verhouding in inkomsten en uitgaven van een persoon of bedrijf,,,,https://gemmaonline.nl/index.php/GEMMA/id-fd84565d-63d3-44a1-84e0-cd0f580cb2ad,,fd84565d-63d3-44a1-84e0-cd0f580cb2ad,,business-object,,04062025-090332,
244,Moratorium,"Het gaat hier om de datum waarop een verzoek tot een moratorium (ex art. 287 b Fw) is ingediend bij de rechter.

Er kan een verzoek tot een moratorium bij de rechter worden gedaan om te voorkomen dat een schuldeiser zijn specifieke inningsmogelijkheden gebruikt, terwijl een aanvraag voor een minnelijke schuldregeling in behandeling is. Het moratorium is bedoeld om het minnelijke traject te kunnen voortzetten.

Het moratorium kan in de volgende situaties worden ingezet:
- gedwongen woningontruiming;
- be&#235;indiging van de levering van gas, water elektriciteit of stadsverwarming;
- opzegging dan wel ontbinding van de zorgverzekering.

Het moratorium duurt maximaal zes maanden.",Class,,{5FC12BE5-75F0-4dd9-8DA7-993C03F3700A},,,,,,,,,,,,,,,,04062025-090332,
245,Nazorg,"Ondersteuning die een persoon ontvangt n&#225; een schuldhulptraject, om zo bij de start van een schuldenvrij leven zelfredzaamheid verder te bevorderen &#233;n recidive (terugval) te voorkomen.",Class,,{551A527B-A2E2-4409-968B-D1BE4612EB3C},,,,,,,,,,,,,,,,04062025-090332,
246,Ondernemer,Een ondernemer is een individu die die goederen of diensten levert aan anderen om winst te maken.,Class,,{AA004853-3565-4634-A434-BD7F36ED0B1A},,,,,,,,,,,,,,,,04062025-090332,
