nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-type,datum-tijd-export,GGM-toelichting
516,Vastgoedcontract,,Class,,{1C84E4B6-1BB5-4a0d-A945-FFFDFDFB544B},,,,,Vastgoed Contract,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-44e5cb64-556a-4b36-9b4e-a2c8e61345ed,,44e5cb64-556a-4b36-9b4e-a2c8e61345ed,business-object,17042024-14:45:57,
517,VastgoedcontractRegel,ONderdeel van een vastgoedcontract,Class,,{1C25D70B-AE22-4654-9190-2F55272D9BE6},,,,,Vastgoedcontractregel,ONderdeel van een vastgoedcontract,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-cd39bcc5-b77a-41f8-8815-e8076696f48d,,cd39bcc5-b77a-41f8-8815-e8076696f48d,business-object,17042024-14:45:57,
518,Vastgoedobject,"Perceel of vastgoed waar de gemeente een zakelijk recht heeft, en optioneel verhuurd, verpacht of anderzinds aan een derde partij.",Class,,{28A6F2AC-5AB1-4f25-8876-931152CA28E0},,,,,Vastgoedobject,"Perceel of vastgoed waar de gemeente een zakelijk recht heeft, en optioneel verhuurd, verpacht of anderzinds aan een derde partij.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ac9bd49c-9861-44f3-adff-ffa256a08111,,ac9bd49c-9861-44f3-adff-ffa256a08111,business-object,17042024-14:45:57,
519,VerhuurbaarEenheid,Een Verhuurbare Eenheid (VHE) is een eenheid die individueel verhuurbaar is. Verhuurbaar komt voort uit 'exploitatie',Class,,{98A7AE65-A061-449a-94CD-6218069CA86A},,,,,Verhuurbaar Eenheid,Een Verhuurbare Eenheid (VHE) is een eenheid die individueel verhuurbaar is. Verhuurbaar komt voort uit 'exploitatie',,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-31dcb0af-e9f1-44e1-8d5a-278f887fa9e7,,31dcb0af-e9f1-44e1-8d5a-278f887fa9e7,business-object,17042024-14:45:57,
520,Werkbon,Document waarin een heoveelheid werk is beschreven,Class,,{C5AA8835-219D-4bfa-85EF-8BA45F732BCD},,,,,Werkbon,Document waarin een heoveelheid werk is beschreven,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-a13ea500-9135-4985-a718-c56240860c46,,a13ea500-9135-4985-a718-c56240860c46,business-object,17042024-14:45:57,
521,WOZBelang,,Class,,{E71DC5EC-EEEB-4d27-A3C1-B46FD34AD41B},,,,,,,,,,,,,,17042024-14:45:57,
522,ZakelijkRecht,"Geeft een recht op een goed, zoals een onroerende zaak of een roerende zaak. ",Class,,{8D52E9F1-9CC9-42c6-A347-E68E29718E55},,,,,Zakelijk Recht,"Geeft een recht op een goed, zoals een onroerende zaak of een roerende zaak.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-a6741440-a70f-4d05-b164-6a21b867b4d3,Zakelijk Recht (Vastgoed),a6741440-a70f-4d05-b164-6a21b867b4d3,business-object,17042024-14:45:57,
523,Energielabel Gebouwen,"<font color=""#1a1a1a""><b>Gebouwen (geen woningen in particulier bezit)</b></font><font color=""#42474b"">[</font><a href=""https://nl.wikipedia.org/w/index.php?title=Energielabel&amp;action=edit&amp;section=11""><font color=""#092f9d""><u>bewerken</u></font></a><font color=""#42474b"">]</font>
<font color=""#1a1a1a"">In 2002 heeft het Europese Parlement de EPBD-richtlijn aangenomen. Deze richtlijn is gericht op het terugdringen van het energiegebruik van </font><a href=""https://nl.wikipedia.org/wiki/Gebouw""><font color=""#092f9d""><u>gebouwen</u></font></a><font color=""#1a1a1a"">, met het oog op vermindering van de uitstoot van o.a. CO<sub>2</sub> en om de afhankelijkheid van fossiele brandstoffen te verkleinen. Op basis van deze Europese richtlijn is het in Nederland sinds 1 januari 2008 verplicht gesteld dat bij iedere transactie van utiliteitsgebouw ouder dan 10 jaar een energielabel aan de nieuwe gebruiker overhandigd moet worden. Sinds 2010 zijn de regels voor toekenning sterk versimpeld: ""Er wordt geschat hoeveel </font><a href=""https://nl.wikipedia.org/wiki/Giga""><font color=""#092f9d""><u>giga</u></font></a><a href=""https://nl.wikipedia.org/wiki/Joule""><font color=""#092f9d""><u>joule</u></font></a><font color=""#1a1a1a""> energie de woning elk jaar per vierkante meter gebruikt voor verwarming, warm water en verlichting"". Hiervan wordt afgetrokken de geschatte warmteterugwinning uit rioolwater en ventilatie, en de geschatte energieproductie via zonnecollectoren (zowel elektrisch als warm water). Er wordt uitgegaan van gemiddelde bewoning, gemiddeld buitenklimaat en gemiddeld stookgedrag.</font>
<font color=""#1a1a1a"">
</font><font color=""#1a1a1a"">Bron Wikipedia</font>",Enumeration,,{808592B6-401F-48c7-BD2A-2A3D77E846A4},,,,,,,,,,,,,,17042024-14:45:57,
524,Monumenttypering,,Enumeration,,{764193B9-F588-46a2-A230-4B9D29B8CF44},,,,,,,,,,,,,,17042024-14:45:57,
525,NEN2767 Conditiescore,"<font color=""#262626"">NEN 2767 zorgt voor het uniform inspecteren en in kaart brengen van de technische staat van alle bouw- en installatie delen m.b.t. gebouwen en/of infrastructuur. Door middel van conditiescores maakt u gemakkelijk vergelijkingen tussen de verschillende onderhoudstoestanden van objecten. Zo heeft u met de resultaten inzicht in onderhoudskosten en mogelijke risico’s en zo kunt u meerjarige onderhoudsplanningen opstellen. Kortom, met deze norm kunt u de kwaliteit waarborgen.</font>",Enumeration,,{81CA4474-4D1E-485d-94F9-1243FA00B1FE},,,,,,,,,,,,,,17042024-14:45:57,
