"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"803","Standplaats","vanaf een vaste locatie te koop aanbieden, verkopen of afleveren van goederen of aanbieden van diensten, gebruikmakend van fysieke middelen zoals een kraam, een wagen of een tafel","Class","{98F3132E-F97A-4f49-B4F5-28618BB693F8}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","Museum Prinsenhof","Business object","","id-98f3132e-f97a-4f49-b4f5-28618bb693f8","","","","28062023-11:06:06"
"804","Startformulier Aanbesteden","Formulier voor het starten van een aanbeseding","Class","{7694A657-22D8-4b00-AAE2-A78EF014B43A}","","Inkoop","Data object","","id-7694a657-22d8-4b00-aae2-a78ef014b43a","","","","28062023-11:06:06"
"805","Startkwalificatie","Diploma van een opleiding als bedoeld in de WEB of een diploma hoger algemeen voortgezet onderwijs of voorbereidend wetenschappelijk onderwijs als bedoeld in de WVO;","Class","{E8301577-1A49-43cf-A2CA-0F042584EBB3}","http://lod.duo.nl/term/Startkwalificatie","Onderwijs","Business object","","id-e8301577-1a49-43cf-a2ca-0f042584ebb3","","","","28062023-11:06:06"
"806","StatLigplaatsStandplaats","Een aanduiding van alle waarden die de status van een lig- of standplaats  
kan aannemen. ","Enumeration","{C27A40AB-D4D2-497b-923F-9C2251708BEF}","","Enumeratiesoort","Data object","","id-c27a40ab-d4d2-497b-923f-9c2251708bef","","","","28062023-11:06:06"
"807","STATUS","<font color=""#610e6a"">Een aanduiding van de stand van zaken van een zaak op basis van betekenisvol behaald resultaat voor de initiator van de zaak.</font>","Class","{7C975D37-670B-405e-B825-924BCAFA74C7}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RGBZ Model","Business object","","id-7c975d37-670b-405e-b825-924bcafa74c7","","","","28062023-11:06:06"
"808","statusGeoObject","Een aanduiding van alle waarden van de status  die een geo-object kan aannemen.","Enumeration","{0F81E79F-B306-40b9-ADCA-59A1E3F55D2B}","","Enumeratiesoort","Data object","","id-0f81e79f-b306-40b9-adca-59a1e3f55d2b","","","","28062023-11:06:06"
"809","statusNummeraanduiding","Een aanduiding van alle  fases van de levenscyclus  die een  nummeraanduiding kan aannemen.","Enumeration","{567C34A4-213A-4c9b-B96D-D339BAC041A0}","","Enumeratiesoort","Data object","","id-567c34a4-213a-4c9b-b96d-d339bac041a0","","","","28062023-11:06:06"
"810","StatusOpenbareActiviteit","","Enumeration","{A29EE01A-118E-4599-BADD-35B9393A78F4}","","Vergunningverlening, Toezicht en Handhaving","Data object","","id-a29ee01a-118e-4599-badd-35b9393a78f4","","","","28062023-11:06:06"
"811","statusOpenbareRuimte","Een aanduiding van alle fasen van de levenscyclus die een openbare ruimte kan aannemen.","Enumeration","{65E6F13C-2892-4068-9881-8B27C8134F14}","","Enumeratiesoort","Data object","","id-65e6f13c-2892-4068-9881-8b27c8134f14","","","","28062023-11:06:06"
"812","statusPand","De verschillende waarden die de status van een pand kan aannemen. ","Enumeration","{E2CC5DFC-C264-4c21-8E47-F551958E1C17}","","Enumeratiesoort","Data object","","id-e2cc5dfc-c264-4c21-8e47-f551958e1c17","","","","28062023-11:06:06"
"813","STATUSTYPE","<font color=""#610e6a"">Generieke aanduiding van de aard van een STATUS</font>","Class","{AA496B7B-913C-40fd-943E-52F1A6E89440}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RGBZ Model","Data object","","id-aa496b7b-913c-40fd-943e-52f1a6e89440","","","","28062023-11:06:06"
"814","statusVerblijfsobject","Een aanduiding van alle waarden die de status van een verblijfsobject kan aannemen. ","Enumeration","{7D71D6E8-89EB-4731-952B-FB4573D06DBE}","","Enumeratiesoort","Data object","","id-7d71d6e8-89eb-4731-952b-fb4573d06dbe","","","","28062023-11:06:06"
"815","statusVoortgangBouw","Een aanduiding van alle fases die de voortgang bouw pand kan aannemen.","Enumeration","{8C49F097-6D95-4406-B3B7-58AC102B6FD2}","","Enumeratiesoort","Data object","","id-8c49f097-6d95-4406-b3b7-58ac102b6fd2","","","","28062023-11:06:06"
"816","statusWoonplaats","Een aanduiding van alle waarden die de status van een woonplaats 
kan aannemen. ","Enumeration","{3CF7C652-66DF-48c0-95D6-FC742C6DAAC0}","","Enumeratiesoort","Data object","","id-3cf7c652-66df-48c0-95d6-fc742c6daac0","","","","28062023-11:06:06"
"817","statusWOZ(Deel)Object","Een aanduiding van alle  fasen van de levenscyclus van WOZ-(deel)objecten","Enumeration","{4C3EC32C-0910-4a25-8F1D-B9529A06B272}","","Enumeratiesoort","Data object","","id-4c3ec32c-0910-4a25-8f1d-b9529a06b272","","","","28062023-11:06:06"
"818","statusWOZ-Beschikking","<font color=""#0f0f0f"">De verschillende waarden die de status van een beschikking waarmee de waarde is vastgesteld, kan aannemen.</font>","Enumeration","{AF94EA13-2E6F-49fe-A6F8-1C599E9B27EC}","","Enumeratiesoort","Data object","","id-af94ea13-2e6f-49fe-a6f8-1c599e9b27ec","","","","28062023-11:06:06"
