"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"300","enum_TypeCommunicatie","","Enumeration","{{89CD23DC-FE90-4F1C-B488-D3A1A9DF7208}}","","Enumeratiesoort","Data object","","id-89cd23dc-fe90-4f1c-b488-d3a1a9df7208","","","","28062023-11:06:06"
"301","enum_TypeConstructie","","Enumeration","{{7A84CB53-2A1A-4642-8728-1A355B7E3A5E}}","","Enumeratiesoort","Data object","","id-7a84cb53-2a1a-4642-8728-1a355b7e3a5e","","","","28062023-11:06:06"
"302","enum_TypeDeurbediening","","Enumeration","{{44604AB1-949D-4D6B-9CEC-5E5D1B19D35A}}","","Enumeratiesoort","Data object","","id-44604ab1-949d-4d6b-9cec-5e5d1b19d35a","","","","28062023-11:06:06"
"303","enum_TypeEigenaar","","Enumeration","{{359BC182-DA82-4ECE-A924-60F71AB10CCD}}","","Enumeratiesoort","Data object","","id-359bc182-da82-4ece-a924-60f71ab10ccd","","","","28062023-11:06:06"
"304","enum_TypeEigenaarPlus","","Enumeration","{{39484B75-C7F8-4FEC-9348-B668821A4B1D}}","","Enumeratiesoort","Data object","","id-39484b75-c7f8-4fec-9348-b668821a4b1d","","","","28062023-11:06:06"
"305","enum_TypeElement","","Enumeration","{{10DF6A73-C95E-4885-AB58-1B89FEBA4BA0}}","","Enumeratiesoort","Data object","","id-10df6a73-c95e-4885-ab58-1b89feba4ba0","","","","28062023-11:06:06"
"306","enum_TypeFundering","","Enumeration","{{E80D87B7-37EB-47BE-B75E-AA194DC08E07}}","","Enumeratiesoort","Data object","","id-e80d87b7-37eb-47be-b75e-aa194dc08e07","","","","28062023-11:06:06"
"307","enum_TypeLigging","","Enumeration","{{6DCEFF95-3039-439A-88CC-19E3BEF049EF}}","","Enumeratiesoort","Data object","","id-6dceff95-3039-439a-88cc-19e3bef049ef","","","","28062023-11:06:06"
"308","enum_TypeMantel","","Enumeration","{{DA3D97D3-2619-435F-94B6-A36EFB0A3FDE}}","","Enumeratiesoort","Data object","","id-da3d97d3-2619-435f-94b6-a36efb0a3fde","","","","28062023-11:06:06"
"309","enum_TypeMonument","","Enumeration","{{AE07CDDB-007F-4332-BC88-5607C1607A6C}}","","Enumeratiesoort","Data object","","id-ae07cddb-007f-4332-bc88-5607c1607a6c","","","","28062023-11:06:06"
"310","enum_TypeNivelleerschijf","","Enumeration","{{35969A2D-E64B-4F6E-AA03-E90A69FAE647}}","","Enumeratiesoort","Data object","","id-35969a2d-e64b-4f6e-aa03-e90a69fae647","","","","28062023-11:06:06"
"311","enum_TypeOmgevingsrisicoklasse","","Enumeration","{{437806C5-6D08-4163-A837-4AD221FD0483}}","","Enumeratiesoort","Data object","","id-437806c5-6d08-4163-a837-4ad221fd0483","","","","28062023-11:06:06"
"312","enum_TypeOnderdeelMetPomp","","Enumeration","{{00B2C7D6-987C-4DD3-8573-FDC91CB626DE}}","","Enumeratiesoort","Data object","","id-00b2c7d6-987c-4dd3-8573-fdc91cb626de","","","","28062023-11:06:06"
"313","enum_TypePlus","","Enumeration","{{703DCAF1-98C7-4511-BF73-1A081538179C}}","","Enumeratiesoort","Data object","","id-703dcaf1-98c7-4511-bf73-1a081538179c","","","","28062023-11:06:06"
"314","enum_TypeSlot","","Enumeration","{{DFA054FF-C728-4128-B740-94752873016B}}","","Enumeratiesoort","Data object","","id-dfa054ff-c728-4128-b740-94752873016b","","","","28062023-11:06:06"
"315","enum_TypeStandplaats","","Enumeration","{{785319CE-C818-447C-8406-FB80EFFA91B3}}","","Enumeratiesoort","Data object","","id-785319ce-c818-447c-8406-fb80effa91b3","","","","28062023-11:06:06"
"316","enum_TypeStandplaatsPlus","","Enumeration","{{B9E554C7-D18C-4B9F-AC74-AD3990646868}}","","Enumeratiesoort","Data object","","id-b9e554c7-d18c-4b9f-ac74-ad3990646868","","","","28062023-11:06:06"
"317","enum_TypeTeerhoudend","","Enumeration","{{660D5A96-5739-41CA-AC8F-A97CCEBA4CFA}}","","Enumeratiesoort","Data object","","id-660d5a96-5739-41ca-ac8f-a97cceba4cfa","","","","28062023-11:06:06"
"318","enum_TypeVaarwater","","Enumeration","{{14089940-6266-4321-B06B-6E1153502578}}","","Enumeratiesoort","Data object","","id-14089940-6266-4321-b06b-6e1153502578","","","","28062023-11:06:06"
"319","enum_TypeVermeerderingsvorm","","Enumeration","{{06BDE296-32E0-41AA-AE73-D8CB32B03E60}}","","Enumeratiesoort","Data object","","id-06bde296-32e0-41aa-ae73-d8cb32b03e60","","","","28062023-11:06:06"
"320","enum_TypeVoeg","","Enumeration","{{BD2B5B0B-95A4-4925-BD90-87A9C8E92F0A}}","","Enumeratiesoort","Data object","","id-bd2b5b0b-95a4-4925-bd90-87a9c8e92f0a","","","","28062023-11:06:06"
"321","enum_TypeVoegvulling","","Enumeration","{{BF68E5D3-1273-438D-AAE9-58C2B3523126}}","","Enumeratiesoort","Data object","","id-bf68e5d3-1273-438d-aae9-58c2b3523126","","","","28062023-11:06:06"
"322","enum_TypeWaaier","","Enumeration","{{011D7F72-4DE3-4A83-B3BA-9865BA836986}}","","Enumeratiesoort","Data object","","id-011d7f72-4de3-4a83-b3ba-9865ba836986","","","","28062023-11:06:06"
"323","enum_TypeWaterplant","","Enumeration","{{F5EC227C-2CA6-4688-99A9-6453CF0023CC}}","","Enumeratiesoort","Data object","","id-f5ec227c-2ca6-4688-99a9-6453cf0023cc","","","","28062023-11:06:06"
"324","enum_Vegen","","Enumeration","{{EC2C7B91-3D05-489F-859A-9BD8C03724DA}}","","Enumeratiesoort","Data object","","id-ec2c7b91-3d05-489f-859a-9bd8c03724da","","","","28062023-11:06:06"
"325","enum_Verbindingstype","","Enumeration","{{7FDFE0D5-EE2F-414A-865D-9E3D4C87F015}}","","Enumeratiesoort","Data object","","id-7fdfe0d5-ee2f-414a-865d-9e3d4c87f015","","","","28062023-11:06:06"
"326","enum_VerhardingsobjectWegfunctie","","Enumeration","{{06D4FACD-7071-44E2-8E89-37BCFDD1FDB6}}","","Enumeratiesoort","Data object","","id-06d4facd-7071-44e2-8e89-37bcfdd1fdb6","","","","28062023-11:06:06"
"327","enum_Vorm","","Enumeration","{{51A5B972-7AC6-4873-9AFD-E6B09B592B1C}}","","Enumeratiesoort","Data object","","id-51a5b972-7ac6-4873-9afd-e6b09b592b1c","","","","28062023-11:06:06"
"328","enum_VrijeDoorrijhoogte","","Enumeration","{{481B5194-9D15-4BC2-A1AC-E681114FEBE7}}","","Enumeratiesoort","Data object","","id-481b5194-9d15-4bc2-a1ac-e681114febe7","","","","28062023-11:06:06"
"329","enum_VrijeTakval","","Enumeration","{{C7DA7CF4-EA1F-4F4D-8FD5-B3BD8A2147FD}}","","Enumeratiesoort","Data object","","id-c7da7cf4-ea1f-4f4d-8fd5-b3bd8a2147fd","","","","28062023-11:06:06"
"330","enum_VulmateriaalKunstgras","","Enumeration","{{37EDDC7C-967E-480F-9E38-27AD291980AE}}","","Enumeratiesoort","Data object","","id-37eddc7c-967e-480f-9e38-27ad291980ae","","","","28062023-11:06:06"
"331","enum_Waterdoorlatendheid","","Enumeration","{{DE774AB1-14E7-43D3-BC6D-3459E3893455}}","","Enumeratiesoort","Data object","","id-de774ab1-14e7-43d3-bc6d-3459e3893455","","","","28062023-11:06:06"
"332","enum_WegasTypeRoute","","Enumeration","{{8DDF992F-061F-470E-B8D2-4B267EE089EB}}","","Enumeratiesoort","Data object","","id-8ddf992f-061f-470e-b8d2-4b267ee089eb","","","","28062023-11:06:06"
"333","enum_WegcategorieDV","","Enumeration","{{470C2B90-3229-446B-9688-CC0FE2CCE6B4}}","","Enumeratiesoort","Data object","","id-470c2b90-3229-446b-9688-cc0fe2cce6b4","","","","28062023-11:06:06"
"334","enum_WegtypeBestaand","","Enumeration","{{80CA81D5-3866-4629-80E9-0F710F0D152A}}","","Enumeratiesoort","Data object","","id-80ca81d5-3866-4629-80e9-0f710f0d152a","","","","28062023-11:06:06"
"335","enum_Zettingsgevoeligheid","","Enumeration","{{B8CA4620-629B-40C4-BB25-91239DA3CD93}}","","Enumeratiesoort","Data object","","id-b8ca4620-629b-40c4-bb25-91239da3cd93","","","","28062023-11:06:06"
"336","enum_ZettingsgevoeligheidPlus","","Enumeration","{{1631F6D1-087F-46AC-83BC-C3E5C5F50DAD}}","","Enumeratiesoort","Data object","","id-1631f6d1-087f-46ac-83bc-c3e5c5f50dad","","","","28062023-11:06:06"
"337","Enumeration A","","Enumeration","{7E8D195B-7C08-4549-98D5-0149BFC1A9EA}","","","Data object","","id-7e8d195b-7c08-4549-98d5-0149bfc1a9ea","","","","28062023-11:06:06"
"338","Erfgoed Object","Uit het verleden ge√´rfde materi√´le en immateri√´le objecten ","Class","{71A5C565-C2CC-495f-910A-76C199C6AF0E}","https://thesaurus.cultureelerfgoed.nl/concept/cht:ecdc5464-f065-4901-936d-077f39c18b79/nl","Generieke Entiteiten Erfgoed","Business object","In de loop van de tijd tot stand gebracht door de mens of ontstaan uit de wisselwerking tussen mens en omgeving, die mensen, onafhankelijk van het bezit ervan, identificeren als een weerspiegeling en uitdrukking van zich voortdurend ontwikkelende waarden, overtuigingen, kennis en tradities, en die aan hen en toekomstige generaties een referentiekader bieden.","id-71a5c565-c2cc-495f-910a-76c199c6af0e","","","","28062023-11:06:06"
"339","Externe Bron (Dienstverlening)","Bron buiten de eigen organisatie","Class","{841FC453-80B3-4389-A91F-9498FDC629CF}","","Dienstverlening","Data object","","id-841fc453-80b3-4389-a91f-9498fdc629cf","","","","28062023-11:06:06"
"340","Externe Bron (ICT)","Bron buiten de eigen organisatie","Class","{144D1047-35BB-4926-9472-895D89DC2E0C}","","ICT","Business object","","id-144d1047-35bb-4926-9472-895d89dc2e0c","","","","28062023-11:06:06"
"341","Factuur (Financien)","Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.","Class","{E1DA56C3-6ECA-4ec9-8CF4-FC57E1C43102}","","Financien","Business object","","id-e1da56c3-6eca-4ec9-8cf4-fc57e1c43102","","","","28062023-11:06:06"
"342","Factuur (Museum Prinsenhof)","Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.","Class","{A6B99E10-90BA-4869-951E-F802062ED0CD}","","Museum Prinsenhof","Data object","","id-a6b99e10-90ba-4869-951e-f802062ed0cd","","","","28062023-11:06:06"
"343","Factuurregel","Een item op de factuur","Class","{65E960EA-CC92-4af1-AF2B-B4625FA6AEA0}","","Financien","Data object","","id-65e960ea-cc92-4af1-af2b-b4625fa6aea0","","","","28062023-11:06:06"
"344","Fietsparkeervoorziening","Een duurzaam verankerd rek in de openbare ruimte voor het stallen van fietsen","Class","{CA558CCA-4DF7-458A-B8BF-AEA0E428489}","","Ruimte","Business object","","id-ca558cca-4df7-458a-b8bf-aea0e428489","","","","28062023-11:06:06"
"345","Fietsregistratie","Adminstreren van fietsen","Class","{FF9A4A36-6674-4590-BC33-7B6DC5256490}","","Vergunningverlening, Toezicht en Handhaving","Business object","","id-ff9a4a36-6674-4590-bc33-7b6dc5256490","","","","28062023-11:06:06"
"346","Filterput","Put met een filterconstructie voor het onttrekken van grondwater. Kan ook beschouwd worden als een soort drainagevoorziening.","Class","{6E949D6F-0A40-4BB7-B655-5EF4B8BBA4D}","","Ruimte","Business object","","id-6e949d6f-0a40-4bb7-b655-5ef4b8bba4d","","","","28062023-11:06:06"
"347","Financiele Situatie","Verhouding in inkomsten en uitgaven van een persoon of bedrijf","Class","{5CC59215-5A63-4ef8-9D64-C4FAC0619121}","","Schuldhulpverlening","Data object","","id-5cc59215-5a63-4ef8-9d64-c4fac0619121","","","","28062023-11:06:06"
"348","Flyover","Kunstwerk in de vorm van een viaduct dat deel uitmaakt van een verkeersbaan en waarmee een verkeersstroom over twee of meer ongelijkvloerse verkeersstromen wordt geleid.","Class","{12F592F4-8E38-49B7-8DEF-F9B84A874BB}","","Ruimte","Business object","","id-12f592f4-8e38-49b7-8def-f9b84a874bb","","","","28062023-11:06:06"
"349","Formele historie","","Class","{BB4E5922-F0E8-40bb-8BB6-9B0DC648DD85}","","Metagegevens","Data object","","id-bb4e5922-f0e8-40bb-8bb6-9b0dc648dd85","","","","28062023-11:06:06"
"350","Formulier Inhuur","Formulier ten behoeve van inhuur personeel","Class","{B598FF22-CDD0-486f-B528-99421D0FA608}","","Inkoop","Data object","","id-b598ff22-cdd0-486f-b528-99421d0fa608","","","","28062023-11:06:06"
"351","Formulier Verlenging Inhuur","Formulier ten behoeve van verlenging inhuur personeel","Class","{1D87490A-9F07-424f-BE6F-5E9C11376B05}","","Inkoop","Data object","","id-1d87490a-9f07-424f-be6f-5e9c11376b05","","","","28062023-11:06:06"
"352","Formuliersoort","Bron: GEM_FORM
ID: FORM_ID","Class","{0567826D-81EE-4bbd-8D62-3073B74CDF11}","","Dienstverlening","Data object","","id-0567826d-81ee-4bbd-8d62-3073b74cdf11","","","","28062023-11:06:06"
"353","Formuliersoortveld","Bron: GEM_VELD
ID: FORM_ID en VELD_NAAM","Class","{E512AEFD-85FB-4b57-82FE-709221307861}","","Dienstverlening","Data object","","id-e512aefd-85fb-4b57-82fe-709221307861","","","","28062023-11:06:06"
"354","Foto","Afbeelding op een plat vlak vervaardigd door middel van fotografie","Class","{7FE4B466-B051-4068-9ED1-6E60C3B2DBAD}","","Generiek","Data object","","id-7fe4b466-b051-4068-9ed1-6e60c3b2dbad","","","","28062023-11:06:06"
"355","Fractie","Onderdeel, deeltje","Class","{80A7D18F-7C7E-4ee6-9F07-055559BCEF9F}","https://www.aquo.nl/index.php/Id-c3eeba34-f660-4bab-8236-8ebb5d11f9e3","Afval","Business object","","id-80a7d18f-7c7e-4ee6-9f07-055559bcef9f","","","","28062023-11:06:06"
"356","Fraudegegevens","Gegevens met betrekking tot fraude","Class","{096E692B-4810-4571-9A51-DDDEDA13F4BF}","","Participatie","Business object","","id-096e692b-4810-4571-9a51-dddeda13f4bf","","","","28062023-11:06:06"
"357","Fraudesoort","Typering van een fraude","Class","{2D35FBDB-0399-4439-B454-25E1A4FB0279}","","Participatie","Data object","","id-2d35fbdb-0399-4439-b454-25e1a4fb0279","","","","28062023-11:06:06"
"358","Frequentie","","Enumeration","{8640ED99-341B-4f10-A335-9324459F19B3}","","Generiek Jeugd en Wmo","Data object","","id-8640ed99-341b-4f10-a335-9324459f19b3","","","","28062023-11:06:06"
"359","Functie (Omgevingswet)","Een samenhangende verzameling van rollen","Class","{3BDD29C7-FBCD-4c90-A520-8187E2D9BD57}","https://begrippen.archixl.nl/archixl/nl/page/Functie","Omgevingswet","Business object","Voorbeeld: centrumgebied, bedrijventerrein. In spreektaal: een gebied heeft een functie. Informatiekundig: een functie is een zelfstandig informatieobject dat via een verwijzing een gebied aanwijst. De functie is niet de regel zelf. De regel beschrijft wat er juridisch geldt voor dit object. De juridische tekst waarin dit object genoemd is, is te vinden in de juridische regel, en niet in dit object.","id-3bdd29c7-fbcd-4c90-a520-8187e2d9bd57","","","","28062023-11:06:06"
"360","Functie (Organisatie)","Een samenhangende verzameling van rollen","Class","{F29C11C1-477C-4b90-985C-43F94D08230A}","","Organisatie","Data object","","id-f29c11c1-477c-4b90-985c-43f94d08230a","","","","28062023-11:06:06"
"361","Functiehuis","Model waarin functies van een organisatie worden beschreven.","Class","{D69EE16A-390C-4d6f-BC01-2B13FB3B22F1}","","HR","Business object","","id-d69ee16a-390c-4d6f-bc01-2b13fb3b22f1","","","","28062023-11:06:06"
"362","functieOndersteunendWegdeel","Een aanduiding van alle waarden waarmee de functie van een ondersteunend wegdeel kan worden verbijzonderd","Enumeration","{D01E5036-EAC0-4cdb-A96B-E31BCAEF106B}","","Enumeratiesoort","Data object","","id-d01e5036-eac0-4cdb-a96b-e31bcaef106b","","","","28062023-11:06:06"
"363","functieOndersteunendWegdeelPlus","De verschillende  waarden waarmee een nadere classificatie van de functie van een ondersteunend wegdeel kan worden aangegeven.","Enumeration","{A2AA4009-A19E-4309-8BC7-8633CEC76B49}","","Enumeratiesoort","Data object","","id-a2aa4009-a19e-4309-8bc7-8633cec76b49","","","","28062023-11:06:06"
"364","functieSpoor","Een aanduiding van alle waarden waarmee de functie van een spoor kan worden verbijzonderd","Enumeration","{3F8B80B4-05F9-4b76-B33B-2F9FD04AAFA0}","","Enumeratiesoort","Data object","","id-3f8b80b4-05f9-4b76-b33b-2f9fd04aafa0","","","","28062023-11:06:06"
"365","functieWeg","Een aanduiding van alle waarden waarmee het hoofdgebruiksdoel van een weg kan worden verbijzonderd","Enumeration","{7BDE072F-0E66-475b-9E1B-87112E0E538C}","","Enumeratiesoort","Data object","","id-7bde072f-0e66-475b-9e1b-87112e0e538c","","","","28062023-11:06:06"
"366","functieWegPlus","De verschillende waarden waarmee een nadere categorisering van het gebruiksdoel van een weg kan worden verbijzonderd","Enumeration","{0A81C802-DF17-453f-B136-57844E8EA5CD}","","Enumeratiesoort","Data object","","id-0a81c802-df17-453f-b136-57844e8ea5cd","","","","28062023-11:06:06"
"367","FUNCTIONEEL GEBIED","Begrensd en benoemd gebied dat door een functionele eenheid beschreven wordt.","Class","{B8F44180-1F2A-4bbc-8E17-6C472111A92B}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-b8f44180-1f2a-4bbc-8e17-6c472111a92b","","","","28062023-11:06:06"
"368","FunctioneelGebied","Begrensd en benoemd gebied dat door een functionele eenheid beschreven wordt.   (bron: definities.geostandaarden.nl)","Class","{43DD67FD-75F0-4FE0-90F0-DB49048F14C}","","Ruimte","Business object","","id-43dd67fd-75f0-4fe0-90f0-db49048f14c","","","","28062023-11:06:06"
"369","fysiekVoorkomenBegroeidTerrein","Een aanduiding van alle waarden waarmee het fysiek voorkomen van een begroeid terrein kan worden verbijzonderd","Enumeration","{62B611C8-140B-42dd-8327-D258EB9D9E92}","","Enumeratiesoort","Data object","","id-62b611c8-140b-42dd-8327-d258eb9d9e92","","","","28062023-11:06:06"
"370","fysiekVoorkomenBegroeidTerreinPlus","De verschillende waarden waarmee een nadere categorisering van het fysiek voorkomen van een begroeid terrein kan worden verbijzonderd","Enumeration","{7EC13CE7-ECD4-4a02-8844-3FD6AC4C52C7}","","Enumeratiesoort","Data object","","id-7ec13ce7-ecd4-4a02-8844-3fd6ac4c52c7","","","","28062023-11:06:06"
"371","fysiekVoorkomenOnbegroeidTerrein","Een aanduiding van alle waarden waarmee het fysiek voorkomen van een onbegroeid terrein kan worden verbijzonderd","Enumeration","{3E70AED6-A01D-4482-8158-BC4EA16804CF}","","Enumeratiesoort","Data object","","id-3e70aed6-a01d-4482-8158-bc4ea16804cf","","","","28062023-11:06:06"
"372","fysiekVoorkomenOnbegroeidTerreinPlus","Een aanduiding van alle waarden waarmee een nadere categorisering van het fysiek voorkomen van een onbegroeid terrein kan worden verbijzonderd","Enumeration","{A9A8DD54-7906-4a59-85CF-1D32B7806A68}","","Enumeratiesoort","Data object","","id-a9a8dd54-7906-4a59-85cf-1d32b7806a68","","","","28062023-11:06:06"
"373","fysiekVoorkomenOndersteunendWegdeel","Een aanduiding van alle waarden die de mate waarin een ondersteunend wegdeel al of niet verhard is weergeven","Enumeration","{E3C11CC8-D5A9-468b-AD26-8B3D5464EA87}","","Enumeratiesoort","Data object","","id-e3c11cc8-d5a9-468b-ad26-8b3d5464ea87","","","","28062023-11:06:06"
"374","fysiekVoorkomenOndersteunendWegdeelPlus","De verschillend waarden die een nadere classificatie van de mate waarin een ondersteunend wegdeel al of niet verhard is, kan aannemen.","Enumeration","{EF39D22A-B429-43b3-8099-E45C7482ED41}","","Enumeratiesoort","Data object","","id-ef39d22a-b429-43b3-8099-e45c7482ed41","","","","28062023-11:06:06"
"375","fysiekVoorkomenWeg","Een aanduiding van alle waarden waarmee het fysiek voorkomen van een weg kan worden verbijzonderd","Enumeration","{A9215E2C-A24F-41b3-A44B-DA59870AB17D}","","Enumeratiesoort","Data object","","id-a9215e2c-a24f-41b3-a44b-da59870ab17d","","","","28062023-11:06:06"
"376","fysiekVoorkomenWegPlus","De verschillende waarden die een nadere classificatie van de mate waarin een wegdeel al of niet verhard is, kan aannemen.","Enumeration","{9E1309B5-D4B2-4413-AE03-5EFA7EAF8041}","","Enumeratiesoort","Data object","","id-9e1309b5-d4b2-4413-ae03-5efa7eaf8041","","","","28062023-11:06:06"
"377","Gebied (Generiek)","Een aaneengesloten gedeelte van een wijk, waarvan de grenzen zo veel mogelijk gebaseerd zijn op topografische elementen.","Class","{0303A7A4-EF51-4262-AEE0-642FA5064807}","","Generiek","Business object","","id-0303a7a4-ef51-4262-aee0-642fa5064807","","","","28062023-11:06:06"
"378","Gebied (RSGB Model)","Een aaneengesloten gedeelte van een wijk, waarvan de grenzen zo veel mogelijk gebaseerd zijn op topografische elementen.","Class","{5835F691-4452-44de-A1E9-07088AC16D69}","","RSGB Model","Data object","","id-5835f691-4452-44de-a1e9-07088ac16d69","","","","28062023-11:06:06"
"379","Gebiedengroep","Verzameling van gebieden","Class","{85E3996B-578D-4313-B078-2773F98412D9}","","Generiek","Data object","","id-85e3996b-578d-4313-b078-2773f98412d9","","","","28062023-11:06:06"
"380","Gebiedsaanwijzing","Functie of een Beperkingengebied, met een verwijzing naar locatie, veelal een gebied, waarbij aangegeven wordt hoe het gebied beschouwd wordt vanuit de bijbehorende regels.","Class","{503BD06E-E063-46f2-8B43-BF75A143D6C4}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Omgevingswet","Business object","Voorbeeld: bebouwde kom. In spreektaal: dit gebied is aangewezen als bebouwde kom en dit is de functie van dit gebied. Informatiekundig: een aangewezen gebied met de naam bebouwde kom heeft een locatieaanduiding naar een locatie/gebied. Deze locatieaanduiding is een verwijzing, omdat dezelfde locatie ook in de context van een andere aangewezen gebied, of in de context van andere regels, aangewezen of aangeduid kan worden.","id-503bd06e-e063-46f2-8b43-bf75a143d6c4","","","","28062023-11:06:06"
"381","Geboorte ingeschreven natuurlijk persoon","Gegevens over de geboorte van de INGESCHREVEN NATUURLIJK PERSOON.","Class","{C9DD308F-7EA7-4c1a-BC7D-68077692C113}","","Groepattribuutsoort","Data object","","id-c9dd308f-7ea7-4c1a-bc7d-68077692c113","","","","28062023-11:06:06"
"382","Geboorte INGESCHREVEN PERSOON","Gegevens over de geboorte van de ingeschreven persoon.","Class","{4904DACB-3C13-43c1-BA00-137D9BFA3856}","","Groepattribuutsoort","Data object","","id-4904dacb-3c13-43c1-ba00-137d9bfa3856","","","","28062023-11:06:06"
"383","GEBOUWD OBJECT","Een VERBLIJFSOBJECT of een OVERIG GEBOUWD OBJECT","Class","{752621CC-D5CA-4f4c-A937-AF6C84E6ADED}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-752621cc-d5ca-4f4c-a937-af6c84e6aded","","","","28062023-11:06:06"
"384","GEBOUWINSTALLATIE","Een component aan de buitenzijde van een gebouw, die het aanzicht van het gebouw mede bepaalt.","Class","{6FDC646C-F9E2-4610-8FFE-1ECFA99FFBD7}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-6fdc646c-f9e2-4610-8ffe-1ecfa99ffbd7","","","","28062023-11:06:06"
"385","Gebruikerrol (ICT)","Een samenhangende set van taken, bevoegdheden en verantwoordelijkheden van een gebruiker.","Enumeration","{262A7A23-0CBB-4991-A1B2-D5D3E509549C}","","ICT","Data object","","id-262a7a23-0cbb-4991-a1b2-d5d3e509549c","","","","28062023-11:06:06"
"386","Gebruikerrol (ICT)","Een samenhangende set van taken, bevoegdheden en verantwoordelijkheden van een gebruiker.","Class","{12D137DD-2B9F-4c2a-9041-25E8DF1D3689}","","ICT","Data object","","id-12d137dd-2b9f-4c2a-9041-25e8df1d3689","","","","28062023-11:06:06"
"387","Gebruiksdoel","Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan worden verbijzonderd.","Class","{A5975EF7-558A-44fa-A656-AB43580D8C35}","https://www.gemmaonline.nl/index.php/Rsgb_3.0/doc/enumeration/gebruiksdoel","Vastgoed","Business object","","id-a5975ef7-558a-44fa-a656-ab43580d8c35","","","","28062023-11:06:06"
"388","gebruiksdoel","Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan 
worden verbijzonderd.","Enumeration","{6C1FC62B-EE66-4c73-BDBF-A59114A3806A}","","Enumeratiesoort","Data object","","id-6c1fc62b-ee66-4c73-bdbf-a59114a3806a","","","","28062023-11:06:06"
"389","Gegeven","","Class","{E846CC36-DF4A-4398-AE4C-122CAFEBAEAA}","","ICT","Business object","","id-e846cc36-df4a-4398-ae4c-122cafebaeaa","","","","28062023-11:06:06"
"390","Geluidsscherm","Een scheiding bedoeld om geluidshinder in de buitenlucht te verminderen. (IMGeo)","Class","{DD64F32C-3273-4E23-9A61-FCC8EC93977}","","Ruimte","Business object","","id-dd64f32c-3273-4e23-9a61-fcc8ec93977","","","","28062023-11:06:06"
"391","Gemaal","Een constructie ten behoeve van het verplaatsen van waterÂ Â GWSW","Class","{5D70E69A-2A35-4088-886E-32C0B07275C}","","Ruimte","Business object","","id-5d70e69a-2a35-4088-886e-32c0b07275c","","","","28062023-11:06:06"
"392","Gemachtigde","Een Natuurlijk Persoon of een Niet Natuurlijk Persoon die als vertegenwoordiger van een Initiatiefnemer optreedt. (uit: IMAM)","Class","{02BDED5E-9106-4aed-94C2-513689353284}","","Omgevingswet","Business object","","id-02bded5e-9106-4aed-94c2-513689353284","","","","28062023-11:06:06"
"393","GEMEENTE","Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.","Class","{B0D9792B-46E7-4b88-B267-C72691616733}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-b0d9792b-46e7-4b88-b267-c72691616733","","","","28062023-11:06:06"
"394","Gemeentebegrafenis","Teraardebestelling onder verantwoordelijjkheid van de gemeente.","Class","{F2DBE01F-7535-4f26-9DF2-081EF8632F36}","","Gemeentebegrafenissen","Business object","","id-f2dbe01f-7535-4f26-9df2-081ef8632f36","","","","28062023-11:06:06"
