nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
638,heeft,heeft,21699665-ea95-4b33-b7a9-fbe7a9a3fd73,{4BD998AC-402B-4878-A326-37E05F1EC7AB},association-relationship,Association,,,,,b3ca70ae-c2de-4728-ac7d-a144a95c858e,{0E4A8F94-ED08-43dc-9F78-C9DD17D34690},0080f5e8-d0d2-4a34-816d-24c8ec6b185a,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
639,heeft,heeft,7f9b276d-9db3-45ba-9835-ffccd3bf26ee,{A8A40307-22D9-4cdb-AD87-E911FEDFEFC5},association-relationship,Association,,,,,8922cc29-6d1c-4a9c-abd6-6a53dda41cdf,{F73901FC-A78E-486f-B6C6-74CFCBE26CAB},0080f5e8-d0d2-4a34-816d-24c8ec6b185a,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
640,ingediend door,ingediend door,5b116060-2346-44ef-a8c9-2e82acd56c02,{17617172-7EAE-4ad5-AD37-4EE2EE4E1F78},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},d4b0a5ba-7c38-44eb-8856-e3cb971dca37,{E9AD325A-49CF-48a6-AA9E-7FB57E03E414},18062026-11:55:11
641,vermeld in,vermeld in,798c379d-b811-44d3-9b9b-9d1f3f0d5286,{21767452-C186-401e-B6FB-C672ACC15B19},association-relationship,Association,,,,,f94b299a-c9eb-4bdb-82e7-5752360494cd,{C29CCD49-04E2-44b4-A6B0-AD8B10552628},654000c4-9d8b-4453-b3e8-4f77fb1b15a2,{3D2D5426-653C-485c-A99C-8AD933E76D78},18062026-11:55:11
642,,Heeft,,{54E984A2-35F1-4126-BA3D-0BD84F744E25},,Association,,,,,,{94E2B19A-6942-4164-8A52-3C0BBDE45808},,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
643,,heeft,,{116E1177-D516-4939-8514-6C0A46BA1885},,Association,,,,,,{94E2B19A-6942-4164-8A52-3C0BBDE45808},,{7F9392E5-6E43-4880-AF14-819E32A86204},18062026-11:55:11
644,verbalisant,verbalisant,73379ce0-5683-4c25-ab83-b18dc794fd74,{AA01203B-68F8-49c7-93A0-50AF6F0CA78B},association-relationship,Association,,,,,7aae6aa2-cf47-491b-a0c0-a311729edcbf,{90B2A249-8D88-4a14-979F-672223D98E8C},44f31c7d-6347-4e52-a809-c48563f4b7f1,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},18062026-11:55:11
645,,,,{5077B808-045A-4c39-8368-5EF557975018},,Association,,,,,,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},18062026-11:55:11
646,,heeft,,{36B85F97-36E8-4031-B65F-8B9943124096},,Association,,,,,,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},,{F73901FC-A78E-486f-B6C6-74CFCBE26CAB},18062026-11:55:11
647,,heeft,,{1BA529A4-6911-43a1-8342-7ADBDD69FBA5},,Association,,,,,,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,{FDEB42B6-5D93-46bf-9B5C-10F42BA4AC26},18062026-11:55:11
