authentiek,begrip,GGM-bron,created,datum_opname,definitie,dst_class_id,dst_documentation,dst_mult_end,dst_mult_start,dst_multiplicity,dst_role,heeft_tijdlijn_geldigheid,heeft_tijdlijn_registratie,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,indicatie_in_onderzoek,indicatie_materiele_historie,kwaliteit,modified,mogelijk_geen_waarde,GGM-naam,order,populatie,schema_id,src_class_id,src_documentation,src_mult_end,src_mult_start,src_multiplicity,src_role,stereotype,GGM-synoniemen,GGM-toelichting,GGM-uml-type,Datum-tijd-export
,,,,,,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,Nee,Nee,,,EAID_4BE0392A_61EB_4695_AC85_CBE33C9BE1FC,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_A110896B_0CAD_46cf_9226_840DEE3328F0,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_C5AA8835_219D_4bfa_85EF_8BA45F732BCD,,-1,0,,,Nee,Nee,,,EAID_C4F076A9_6FD3_4ea4_9AEA_AEEDF986D4D8,Nee,Nee,Nee,,,Ja,gerealiseerd door,,,GGM_ROOT_SCHEMA,EAID_A110896B_0CAD_46cf_9226_840DEE3328F0,,1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_9A739672_6084_4c05_A13E_59DB13551E58,,1,0,,,Nee,Nee,,,EAID_FA4C6F8E_34E2_4e27_B218_583EBE1FF701,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_54697170_4C4D_40f6_9E08_35DF1970B8C6,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_BE147761_326E_4859_9366_5157CE865EC1,,1,0,,,Nee,Nee,,,EAID_F7B09835_7FBB_4bff_8358_989D2394E13B,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_54697170_4C4D_40f6_9E08_35DF1970B8C6,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_697512E4_0C8E_4be8_8E95_9E2E4BD50F85,,1,1,,,Nee,Nee,,,EAID_040E7F95_87E6_452f_B4A5_632CF872267A,Nee,Nee,Nee,,,Ja,op basis van,,,GGM_ROOT_SCHEMA,EAID_54697170_4C4D_40f6_9E08_35DF1970B8C6,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,Nee,Nee,,,EAID_1EF013DA_6BD6_4829_8AD1_6F4065F52476,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_54697170_4C4D_40f6_9E08_35DF1970B8C6,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835,,1,1,,,Nee,Nee,,,EAID_A31F7870_F775_49c8_9702_98020B0CEA18,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_1C84E4B6_1BB5_4a0d_A945_FFFDFDFB544B,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_1C84E4B6_1BB5_4a0d_A945_FFFDFDFB544B,,1,1,,,Nee,Nee,,,EAID_DC0B2F2C_B864_4290_AEDA_3BA3DF2ED022,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_1C25D70B_AE22_4654_9190_2F55272D9BE6,,-1,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_9A739672_6084_4c05_A13E_59DB13551E58,,-1,0,,,Nee,Nee,,,EAID_93946505_11FE_4bb7_AE26_EF2BC4AE456A,Nee,Nee,Nee,,,Ja,bestaat uit,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_A31C3B5D_EAC5_482d_8816_8B858EC4BE01,,-1,0,,,Nee,Nee,,,EAID_A6AE4BC0_4174_44c0_949D_2E04EF68C7C9,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,,,,Association,12052026-14:54:01
